setting,label,turkish,espresso,aeropress,moka_pot,drip_coffee_maker,siphon,pour_over,french_press
122,3-0-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
123,3-0-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
124,3-1-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
125,3-1-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
126,3-1-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,3-1-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
128,3-2-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
129,3-2-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
130,3-2-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
131,3-2-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
132,3-3-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
133,3-3-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
134,3-3-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
135,3-3-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
136,3-4-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
137,3-4-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
138,3-4-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
139,3-4-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
140,3-5-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
141,3-5-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
142,3-5-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
143,3-5-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
144,3-6-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
